file_name,caption
102351840.jpg,A person in the snow drilling a hole in the ice.
1024138940.jpg,Two large tan dogs play along a sandy beach.
102455176.jpg,An ice climber in a blue jacket and black pants is scaling a frozen ice wall.
1024613706.jpg,Three people walking on a path in a meadow.
102520526.jpg,A man shovels slush of the street.
102575576.jpg,A couple in their wedding attire stand behind a table with a wedding cake and flowers.
102617084.jpg,"Five people wearing winter clothing, helmets, and ski goggles stand outside in the snow."
1026685415.jpg,A black dog carries a green toy in his mouth as he walks through the grass.
1026792563.jpg,Villagers selling their crops at the market.
1027149103.jpg,A man wearing a yellow t-shirt is shouting into a microphone while an audience is listening.
1027211271.jpg,A boy jumps on his skateboard while a crowd watches
1028205764.jpg,A man and young boy ride in a yellow kayak.
102851549.jpg,"Two women, boy sitting on porch, the ladies laughing hard."
102860573.jpg,A construction site on a street with three men working.
10287332.jpg,Three men are working on a roof.
1028982826.jpg,"Two men sitting on a bench talking, with a billboard advertisement for glasses in the background."
1029450589.jpg,A man sleeping in a green room on a couch.
1029737941.jpg,A kid wearing headphones sits on his mom's shoulders while in a crowd.
1029802110.jpg,"During a gay pride parade in an Asian city, some people hold up rainbow flags to show support."
102998070.jpg,Three old men are watching another man prepare fish.
1030041880.jpg,A red-haired woman in a white top and green and white skirt is singing into a microphone.
103031977.jpg,Four people sit on the steps of the entrance to a building.
1030985833.jpg,A black dog and a brown dog are jumping up to catch a red toy.
103106960.jpg,A child in a red jacket playing street hockey guarding a goal.
103195344.jpg,A man sitting in front of a metal sculpture in front of a building.
1031973097.jpg,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.
103205630.jpg,Two men setting up a blue ice fishing hut on an iced over lake
1032122270.jpg,Three dogs on a grassy hill
1032460886.jpg,A man stands in front of a very tall building.
103306033.jpg,A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller.
103328091.jpg,A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits.
1033767085.jpg,A young blond-haired boy and a dark-haired girl are eating at a kid's table.
1034276567.jpg,A child biting into a baked good.
1034985636.jpg,A man wearing black is playing an electric guitar at a concert.
1035019794.jpg,A girl playing softball hits the ball almost directly downwards
10350842.jpg,A man wearing a red life-vest is sitting in a canoe on a body of water.
1035392784.jpg,A man wearing black is playing an electric guitar.
103625356.jpg,A man in a baseball cap works to spread cement behind a line of yellow caution tape.
103631543.jpg,A young woman sits at a dinner table with two entrees and a martini.
1039360778.jpg,A woman relaxes with her bike on a red blanket in a field of green grass and trees.
103953336.jpg,A solitary man stand on a bridge in the evening.
1039637574.jpg,A photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats.
10404007.jpg,A blond toddler walks in a field.
1040426962.jpg,A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above.
104136873.jpg,Three people are on a hilltop overlooking a green valley.
104180524.jpg,Many people cross a very tall footbridge with a tree-covered hill in the background.
1042020065.jpg,A young boy overlooking a crowd of inflatable boats.
1042359076.jpg,A older man holds an object and is looking at two young girls that sit across from him at a table that is outside.
1042590306.jpg,"Asian man and blond woman holding hands outdoors, man in background watches."
104285082.jpg,An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.
1043819504.jpg,"A group of 11 people in winter wear such as beanies, skiing jackets, gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them."
1043910339.jpg,A baseball player attempting to score a run before the catcher tags the player out.
1044434135.jpg,A man in a white shirt rides a bicycle on a busy street.
1044764620.jpg,A man on a ladder is painting a brick wall in a warehouse.
1044798682.jpg,A man in a white shirt stands high up on scaffolding
1045124251.jpg,"Two guys are riding on a subway, both wearing glasses."
1045309098.jpg,A girl with numerous bags walks on a crosswalk along with other people.
10459869.jpg,Several asian people are eating together around a table.
104669470.jpg,A woman is carrying a bowl full of fruit on her head near the ocean side.
104700891.jpg,A man wearing a gray jacket and blue work pants is standing in a hole in the ground
104763189.jpg,An African American child is supported by his three peers while riding his bicycle.
1047921035.jpg,"Two people, one man and one women in the woods putting something in a tub."
104816788.jpg,A sleeping baby is in someone's arms and wearing a pink striped outfit
104824673.jpg,"An African woman with piercings, lots of necklaces and corn on her head."
104835889.jpg,One man dressed in black doing karate in a green field.
1048710776.jpg,Several young people sitting on a rail above a crowded beach.
1049955899.jpg,"Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed."
105077209.jpg,"A security guard stands by a metal, lighted sculpture."
1051205546.jpg,Two women in colorful dresses are sweeping water out of the street while a man watches.
1051290485.jpg,"Two women squatting on the sidewalk looking at plants, one in black shirt, shorts and pink sandals, the other in a white shirt, black shorts talking on a cellphone."
1051953669.jpg,A child in a dress runs through the yard with a miniature orange soccer ball in her hand.
105223874.jpg,A black-haired child in a blue outfit is playing with a toy outside on a tile floor.
1052358063.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall.
1053116826.jpg,A young boy and a young girl sitting in the grass laughing.
1053243591.jpg,A man shaking the hand of a woman in an orange shirt sitting on a bench.
105335409.jpg,A trolley driver is telling people to move off of the street.
105342180.jpg,"A girl paddling down a large river, as seen from behind her."
1053804096.jpg,A young girl in pigtails plays in the water.
1054620089.jpg,A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street.
105493603.jpg,A couple wearing white sweaters sit at a restaurant table.
105493628.jpg,White wine and appetizers on are displayed in an upscale restaurant.
1055753357.jpg,Two construction workers are sitting up on the side of a building.
1056198351.jpg,A child happily mixing batter in a bowl.
1056249424.jpg,"Two boys, one with a yellow and orange ball, play in some water in front of a field."
1056359656.jpg,A young girl on a train reads a book about train rides.
1056415186.jpg,"Two Asian girls laughing, as the girl on the right holds an instrument."
105685221.jpg,Seven people are running and one of them is a man wearing a blue t-shirt and red shorts
1056873310.jpg,A brown dog is running after a black dog on a rocky shore.
1057089366.jpg,A boy descends off the end of a high diving board.
1057251835.jpg,A light-colored dog runs on the beach.
105806535.jpg,"A man holding a yellow ball, soaking in a wooden tub."
1059514525.jpg,A man is sleeping on a bench near a bus stop.
10602072.jpg,"Two young girl are playing near a small tree, and one has climbed up into the branches."
106027774.jpg,A young man asleep during a car ride wearing his seat belt.
106027978.jpg,A woman in a pink shirt wrapped up in a blue blanket asleep in a car.
106039369.jpg,"Man is flipping an omelet or pancake in the air, while in his kitchen."
1060605297.jpg,Firefighters wear reflective uniforms and stare upwards.
1061467336.jpg,Firefighters at a scene with a firetruck that has it's lights on.
1061887159.jpg,People are doing various activities on the beach.
106300392.jpg,Construction workers in front of blue wall with warning stripe.
106356264.jpg,A magazine vendor sits behind a very colorful collage of magazines.
10637120.jpg,A worker wearing a hard hat watching a large machine dig a trench in the dry dirt.
106372282.jpg,An all yellow photo of two men sitting in a bakery.
1063866640.jpg,A group of shirtless men are sitting in the shade on a tropical beach.
106490881.jpg,A boy in his blue swim shorts at the beach.
106514190.jpg,A skier pauses on a mountaintop.
1065323785.jpg,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.
1065831604.jpg,Many men ride their bicycles through some puddles around a curve during a race.
1066252238.jpg,A boy in a pink T-shirt is riding a bike over a sand pile while two others are riding in the street.
1066831905.jpg,A man holds up an older man as the older man bends down to check out plants.
106691539.jpg,A male surgeon wearing a red cap and teal scrubs performing surgery with two other men wearing teal scrubs.
1067180831.jpg,A black and white dog jumps to get the Frisbee.
1067790824.jpg,A woolly dog chases a Doberman on a beach.
1068427675.jpg,A man stand there after rolling a bowling ball down a lane.
106959209.jpg,"An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks."
107022557.jpg,A man and woman laze around on the couch.
1071201387.jpg,A man in a vest is sitting in a chair and holding magazines.
1072439304.jpg,A boy playing for the Giants baseball team swinging at a baseball.
1073145694.jpg,A man with a yellow shirt throwing a javelin.
107318069.jpg,Seven large balloons are lined up at nighttime near a crowd.
1073444492.jpg,A man sits at a desk in room cluttered with books.
107368840.jpg,Fuzzy photo of two girls reading a magazine.
10751489.jpg,Two men are squatting with one man lighting a stick from a candle flame and the other man has his hands folded looking at the ground while a person wearing a bracelet has a phone to their ear.
107532584.jpg,An Asian couple walks in the shopping district.
1075716537.jpg,The young boy pedals quickly at a BMX race.
107582366.jpg,A group of people sitting at a table in a darkened room.
1075867198.jpg,A man in shorts with two black dogs holds a ball throwing toy at the beach.
1075881101.jpg,A boy cleans the bubbles off his face.
1076460267.jpg,A large gathering of people partying on boats.
1076503761.jpg,A girl with blond-hair is holding a bottle and wearing a blue and green floral bikini on a boat.
1077546505.jpg,A boy sliding down a slide into a pool with colorful tubes.
1077931201.jpg,"While water droplets fly, a man throws a little boy up in the air."
1078621572.jpg,A large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck.
1079013716.jpg,The cooks are preparing hamburgers for the customers.
1079274291.jpg,Two young boys look up at the camera as one sticks out his tongue.
107936523.jpg,A person with brown pants is sitting around a fenced area that has sparks flying.
107969134.jpg,A baby boy in a blue and white striped shirt is sitting on his mother's shoulders.
1079742005.jpg,A person stands by a white cross overlooking a bay.
107985741.jpg,People gather in a grassy area near a lake.
1080230428.jpg,"Men playing volleyball, with one player missing the ball but hands still in the air."
108149945.jpg,Two men in orange coveralls shovel snow off railroad tracks.
10815824.jpg,A blond horse and a blond girl in a black sweatshirt are staring at a fire in a barrel.
1081595465.jpg,Rail workers working on train tracks in the city.
1082110795.jpg,"Two gentlemen in baseball caps and shirts, work on the engine of an old, rusted VW beetle."
1082223338.jpg,A woman assembles a white metal frame on the sidewalk.
1082250005.jpg,"A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads, a microwave and the chalkboard menu up on the wall."
1082252566.jpg,A large skinny dog stands near two smaller dogs in the dirt.
1082379191.jpg,A shirtless man and a woman sitting on a dock.
1082478946.jpg,A group of men work on some streetcar rails.
1082608010.jpg,A construction worker in a neon vest is working with electrical equipment while sparks fly.
1083240835.jpg,A woman is carefully applying mascara to her eyelashes.
1084040636.jpg,A white dog is resting its head on a tiled floor with its eyes open.
1084104085.jpg,Woman climbing an artificial rock wall.
1084527029.jpg,A lot of motorcycles lined up in Asia.
108503753.jpg,A white and green helicopter takes off from the airfield.
10863862.jpg,A man in a reflective jacket positions himself on scaffolding.
108656820.jpg,A group of fourteen is assembled in a hall with dining tables and a stage.
1087168168.jpg,A teenage boy is jumping on an inflatable slide.
1087539207.jpg,The four kids are riding on an ATV in a field.
1088385559.jpg,"An older woman stir fries vegetables in a home kitchen, with a counter crowded with jars and bottles in the background."
1088767354.jpg,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.
108898978.jpg,Two skiers are sliding down a trail in the woods.
108899015.jpg,Two hikers climbing a snowy hill.
1089059626.jpg,Man sitting using tool at a table in his home.
1089181217.jpg,A brown dog running down a paved pathway
1089354362.jpg,"A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork."
108957912.jpg,Pedestrians cross the street at a red light.
108970557.jpg,A woman in lavender with short brown hair is sitting in a large chair.
1089755335.jpg,A woman stands with children on a boardwalk at night overlooking the sea.
109083036.jpg,A crowd of boys play cricket in an open sand lot.
1091942526.jpg,A young woman playing with children at a backyard party in the summer.
10919429.jpg,A man in a black shirt and black jeans and a little boy are taking a look inside a green truck's engine while it is parked in a grass field with a gas tank in front of it.
109202756.jpg,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain.
109202801.jpg,Two draft horses pull a cart through the snow.
1092437557.jpg,A smiling woman in a peach tank top stands holding a mountain bike
109260216.jpg,A person rappels down a steep incline.
109260218.jpg,Shaft of light in a cave shows three spelunkers
1093716555.jpg,A group of hikers are resting on the ground in front of some mountains.
1093737381.jpg,A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk.
109380144.jpg,A man wearing an Illinois t-shirt is looking at a camera while a girl is aiming her foot at his face and another man is making an odd face in the background.
1093807815.jpg,A group of African-American children have their hands up in the air singing or shouting in a classroom.
1094283901.jpg,A man wearing swimming trunks jumps off a concrete platform into a large body of water.
1094606832.jpg,A young black person wearing a green shirt and a jacket using a sewing machine.
1094671386.jpg,Asian girls in white t-shirts standing around a motorcycle.
1095109931.jpg,A young woman holds a red and green pepper at a vegetable stand.
10951809.jpg,"An elderly woman with a cane sits in a large wooden chair next to a weaving loom, in a log cabin."
109544260.jpg,A young jean-clad boy is sitting on brown grass blowing bubbles out of a red container.
1095476286.jpg,A child plays in a fountain.
1095580424.jpg,A Corgi runs out of a tunnel.
1095590286.jpg,A yellow dog and a black and white dog are running in the dirt.
10956999.jpg,Two men stand behind a grill near the ocean.
10957138.jpg,A young girl is jumping in the air at the beach.
1095980313.jpg,Little girl in blue swimsuit standing on a handrail near a beach.
109608573.jpg,A man in a white t-shirt standing beside a rack of colorful hats.
1096097967.jpg,A black and white dog is being soaked with a jet of water in a blue paddling pool.
1096165011.jpg,A redheaded boy swimming underwater.
109656696.jpg,A girl in a polka dotted blue jean dress walks barefoot on a balance beam.
109671650.jpg,A boy in yellow shorts is standing on top of a cliff.
1096800382.jpg,A man gestures while facing a woman wearing glasses as they sit inside a restaurant that includes a yellow wall.
109738763.jpg,A snowmobile rider flies through the air on his or her machine in front of tall pine trees.
109738916.jpg,Two helmeted men sit on yellow snowmobiles while another man stands behind watching.
109741554.jpg,Two people working on removing snow from a roof.
1097463464.jpg,A young man wearing a black shirt takes a folding chair from a large stack.
109770830.jpg,A woman is walking at dusk down an urban street.
1097710887.jpg,A small girl in a dress blows bubbles in a grassy field.
109823394.jpg,Three people ride their four wheelers through the field.
109823395.jpg,A person is riding an orange ATV in a large empty field.
109823397.jpg,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building.
1099034049.jpg,A girl is sitting on the beach and appears to be approaching a hit on the head by a plastic inflated hammer.
1099434461.jpg,"A man makes a perfect, golden crepe."
109982467.jpg,A mother and three children collecting garbage from a blue and white garbage can on the street.
1100708949.jpg,Two women are hugging on a path through a grassy area with a cow visible past them.
1101207553.jpg,A large ship approaching the dock with two men awaiting its arrival.
1101291373.jpg,A man with blue pants and a white shirt sitting on a bench talking on a cellphone.
1101923011.jpg,A man wearing a white tank top sings into a microphones on a stage with a crowd watching.
110201971.jpg,Three guys riding on an elephant with a house-like structures and trees in the background.
110226481.jpg,A man sits in the under the hood of a blue truck.
11026590.jpg,A boy in yellow glasses and red-haired girl pose for the camera.
110269384.jpg,A woman sells flowers and incense at the market.
1102763701.jpg,A crowd of scouts where there are flags of many nations being held.
11034843.jpg,A baby with blond-hair crying or yelling.
1104087374.jpg,A man and woman wearing sunglasses sit halfway in the water.
1104133405.jpg,A boy walks with a ball tucked under his arm.
1104881373.jpg,A man scoops out ice cream for a female customer in a cafe.
1105137588.jpg,Asians are sitting at a table and eating beside a green and white wall.
110590591.jpg,A group of people spread out an American flag for all to see.
1105959054.jpg,A young girl with braids is painting with water colors on a white paper on the wall.
110595925.jpg,A cyclist is riding a bicycle on a curved road up a hill.
110600869.jpg,A little girl with a blue jean jacket smiling while running in a field.
110613709.jpg,A man in a laboratory is examining something.
110615445.jpg,"A black-haired man and woman, probably a couple, are kissing on an escalator."
110637863.jpg,"A rugby game being played, one man in a green jersey is being lifted up by his teammates with the ball, while a competitor in a red jersey is similarly lifted to tackle him."
110647073.jpg,"Two men pushing wheelbarrows, two men looking at them, they are in the desert near some block construction buildings."
1106644976.jpg,A young group of friends adorned with face paint and feathered headbands sit on a bench.
110671345.jpg,A young woman in jeans and a gray sweater walks on the sidewalk in a shopping district.
110671448.jpg,A woman in a gray sweater and black baseball cap is standing in line at a shop.
110695011.jpg,"A man wearing a black jacket and gray slacks, stands on the sidewalk holding a sheet with something printed on it in his hand."
1107246521.jpg,A black dog jumping to catch a rope toy
1107471216.jpg,A young girl steadies her aim with a camera
1107507919.jpg,A woman in a red shirt plays a cello.
1107716222.jpg,Girl in odd clothes reading a brochure while sitting on a wooden porch.
11079715.jpg,A man dressed in a funky outfit is playing guitar.
110802332.jpg,A hockey player attempting to score against a goalie as a defenceman watches.
110964272.jpg,A small child and an adult walk on the beach in front of ocean waves.
110983128.jpg,An elderly man in a white shirt and red apron sits outside a store.
1110208841.jpg,A brown and white dog jumping up to catch a Frisbee while an audience watches.
111061041.jpg,Two men in a tennis court in a city are standing on either side of the net talking to each other.
111069375.jpg,A man and a woman are performing with fire in front of a crowd in an urban concrete park.
111201721.jpg,Two young children are walking through a wooded area.
1112212364.jpg,A toddler sitting on a pile of rocks holding a rock at a beach.
1112334131.jpg,A kid wearing a Gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.
111285749.jpg,A person is hanging up pictures of women with a few onlookers watching surrounded by bikes.
11131022.jpg,"Older man in a hat, yellow shirt and dress slacks playing in the sand with a young boy."
1113186657.jpg,A blond child is wearing blue goggles and a green Speedo tank top while swimming underwater.
111390902.jpg,Three oriental men are riding on a red moped scooter in the city with many people.
111413806.jpg,A man and two women are playing a board game at a wooden table while drinking alcohol.
111419142.jpg,Several young people are standing around drinking beverages at some kind of outdoors gathering with food.
111497985.jpg,A woman in a striped shirt climbs up a mountain.
111537217.jpg,A man climbing a rock wall
111537222.jpg,A climber wearing a blue helmet and headlamp is attached to a rope on the rock face.
1115565519.jpg,A little girl playing in water on a frog sculpture.
1115679311.jpg,A black dog is jumping over a log along a beach.
111671162.jpg,People are eating in a cafeteria with a wood beam and glass ceiling.
111737806.jpg,A girl in red short and a white T-shirt underground looking out of a hole.
111766423.jpg,A small bird sits in a person's hand and eats seeds.
111796099.jpg,A woman in a white shirt and pink skirt is about to hit a tennis ball.
1117972841.jpg,A brown dog is running in the sand.
111811048.jpg,A man walks across the field of view in front of a cityscape.
1118168796.jpg,A man looks through a large camera-like device in a field near a camper and some parked vehicles.
1118557877.jpg,A young boy laughs while splashing in the ocean.
1118752484.jpg,Several people walking across a bridge in both directions.
1119015538.jpg,A little tan dog with large ears running through the grass.
1119034454.jpg,A woman running along a river along a path.
111908743.jpg,A man in red pants jumping on a park table.
1119418776.jpg,"A black, brown and white dog running through a field."
1119463452.jpg,Smiling little girl swimming in outdoor pool.
11205420.jpg,A street performer is performing with a bike in the foreground.
1121053156.jpg,A man and a child stand next to a blue and black tube.
1121416483.jpg,A young girl does a handstand on a bed with blue sheets.
11214205.jpg,Three construction workers in bright vests prepare road to be worked on.
11214370.jpg,A man with a safety vest is kneeling down and cleaning the bricks.
11214470.jpg,Two construction workers operate a machine that steams the street.
112178718.jpg,A guy stands in the sand with a snowboard behind him.
11220707.jpg,A construction worker is laboring on part of a house near a chain-link fence and trees.
1122177096.jpg,A man wearing a yellow shirt and tan pants plays golf outside while being watched by other people.
112220869.jpg,A girl in a white outfit with a yellow belt is holding a trophy.
1122357785.jpg,A man joyfully throws his son while swimming.
112243673.jpg,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees.
112245524.jpg,A woman in a red tank top is cutting a hamburger in half with a spatula while opening or closing a drawer with the other hand.
1122579380.jpg,A boy in a white shirt walks in the ocean.
112264837.jpg,A man in a suit reading a from a piece of paper in front of a nude sculpture.
1122944218.jpg,A baby wearing a white gown waves a Muslim flag.
1123486015.jpg,A man is standing on a small floating raft with a flag.
112411540.jpg,A young man in a gray jacket stands behind the counter of a jewelery store and smiles.
1124448967.jpg,An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped.
11245644.jpg,People gathered at the steps of a church-like architecture.
112459543.jpg,Children are playing soccer on a rocky beach.
112550433.jpg,A woman in an orange top and black sweatpants jumps up with her arms out in front of the ocean on the beach.
112604461.jpg,Two men are working on putting together a wooden frame.
1126137905.jpg,"A crowd of people standing next to a shack labeled ""Green Jungle."""
1126403094.jpg,An older woman smiles on as two pink-haired women talk.
1126450961.jpg,A man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building.
112719695.jpg,A woman in a pink shit and blue jeans is walking down a somewhat busy street while holding a cup of coffee.
1128230658.jpg,A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.
1128874064.jpg,A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags.
112945950.jpg,A man sitting on a wall and looking at a body of water.
1129704496.jpg,Two dogs run through the water with a rope in their mouths.
1130017585.jpg,"There are three young people, one dark-haired holding a bottled drink, one with head tilted back and finger in her mouth, and one with spiked hair."
1130295306.jpg,Several people walk along a waterway including a boy with a scooter.
113032513.jpg,Little boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down.
1130369873.jpg,"Brown dog with tennis ball in mouth, in water and bushes."
1130401779.jpg,Two brown dogs are creating large splashes as they run in a river.
1131056918.jpg,Two men pretend to be statutes while women look on.
113109101.jpg,A young girl with red-hair blows bubbles in clear water.
1131155939.jpg,A black dog runs into the ocean next to a pile of seaweed.
1131340021.jpg,A young boy runs while wearing sandals.
1131800850.jpg,The large brown and white dog shakes off water.
1131883759.jpg,A small whole is being drilled into a white piece of plastic while being held down securely on a workbench.
1131889107.jpg,A women's roller derby team taking a break.
1131932671.jpg,A boy is jumping on a bed.
1132772170.jpg,A man is standing with his arms folded looking at something while the person behind him is jumping onto one of the two beds in the room.
113291048.jpg,A man carrying an electric saw and a square board inside of a shop.
11337976.jpg,A shirtless man with sunglasses and a helmet is riding a motorcycle next to traffic cones.
11338041.jpg,People waiting to enter a white building through an entry way with an orange handwritten sign to the left of it.
113637264.jpg,A man is happily laying bricks.
1136497229.jpg,A brown-haired woman looks at a baby eating something.
1136758631.jpg,A woman in a black top with a shopping bag standing near the train tracks while others read.
113678030.jpg,A snowboarder sits on a slope with skiers and boarders nearby.
113737410.jpg,People strolling in a mall with colorful decorations hanging from the ceiling.
11382381.jpg,A woman in a green shirt is working on a horse's hoof.
1138784872.jpg,A small child in green clothing walks past a store opening and a woman in pink pants.
1139029795.jpg,"A group of cheerleaders cheering on the street, dressed in red and white."
11391827.jpg,A man in a brown shirt prepares to close the door.
114051287.jpg,A boy dressed in soccer attire and holding his shoes getting out of a car.
114052371.jpg,"A white, young man in dreadlocks and a green kilt is sitting on a couch smiling."
1140793239.jpg,A man in a blue shirt is kissing a woman with blond-hair on the cheek.
